Sno,Date,Province/State,Country,lat,lon,Last Update,Confirmed,Deaths,Recovered
171,01/26/2020 23:00:00,Zhejiang,Mainland China,29.18251,120.0985,01/26/2020 23:00:00,128,0,1
172,01/26/2020 23:00:00,Henan,Mainland China,33.88202,113.614,01/26/2020 23:00:00,128,1,0
173,01/26/2020 23:00:00,Chongqing,Mainland China,30.05718,107.874,01/26/2020 23:00:00,110,0,0
174,01/26/2020 23:00:00,Hunan,Mainland China,27.61041,111.7088,01/26/2020 23:00:00,100,0,0
175,01/26/2020 23:00:00,Anhui,Mainland China,31.82571,117.2264,01/26/2020 23:00:00,70,0,0
176,01/26/2020 23:00:00,Sichuan,Mainland China,30.61714,102.7103,01/26/2020 23:00:00,69,0,0
177,01/26/2020 23:00:00,Beijing,Mainland China,40.18238,116.4142,01/26/2020 23:00:00,68,0,2
178,01/26/2020 23:00:00,Shandong,Mainland China,36.34377,118.1529,01/26/2020 23:00:00,63,0,0
179,01/26/2020 23:00:00,Shanghai,Mainland China,31.20327,121.4554,01/26/2020 23:00:00,53,1,1
180,01/26/2020 23:00:00,Jiangxi,Mainland China,27.61401,115.7221,01/26/2020 23:00:00,48,0,0
181,01/26/2020 23:00:00,Jiangsu,Mainland China,32.97027,119.464,01/26/2020 23:00:00,47,0,1
182,01/26/2020 23:00:00,Guangxi,Mainland China,23.82908,108.7881,01/26/2020 23:00:00,46,0,0
183,01/26/2020 23:00:00,Fujian,Mainland China,26.07783,117.9895,01/26/2020 23:00:00,35,0,0
184,01/26/2020 23:00:00,Liaoning,Mainland China,41.29284,122.6086,01/26/2020 23:00:00,23,0,0
185,01/26/2020 23:00:00,Hainan,Mainland China,19.19673,109.7455,01/26/2020 23:00:00,22,0,0
186,01/26/2020 23:00:00,Shaanxi,Mainland China,35.19165,108.8701,01/26/2020 23:00:00,22,0,0
187,01/26/2020 23:00:00,Heilongjiang,Mainland China,47.862,127.7622,01/26/2020 23:00:00,21,1,0
188,01/26/2020 23:00:00,Yunnan,Mainland China,24.97411,101.4868,01/26/2020 23:00:00,19,0,0
189,01/26/2020 23:00:00,Hebei,Mainland China,38.0428,114.5149,01/26/2020 23:00:00,18,1,0
190,01/26/2020 23:00:00,Tianjin,Mainland China,39.29362,117.333,01/26/2020 23:00:00,14,0,0
191,01/26/2020 23:00:00,Gansu,Mainland China,36.0611,103.8343,01/26/2020 23:00:00,14,0,0
192,01/26/2020 23:00:00,Shanxi,Mainland China,37.57769,112.2922,01/26/2020 23:00:00,13,0,0
